gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,turretplates,opp_turretplates,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15
6909-9183,complete,https://lpl.qq.com/es/stats.shtml?bmid=6909,LPL,2021,Spring,0,2021-01-09 09:22:04,1,11.01,1,Blue,top,369,Top Esports,Karma,Olaf,Renekton,Zoe,Twisted Fate,Orianna,2050,0,0,0,2,3,9,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0878,0.3512,,,,,,,,,,,,,,,,,,,,,,,,,,,,18444.0,539.8244,0.291305,332.8976,325.1415,13.0,0.3805,10.0,0.2927,3.0,,,10711,6253.0,183.0146,0.19343,10675.0,,276.0,272.0,4.0,4.0,0.0,8.078,3429.0,4942.0,89.0,3296.0,4984.0,87.0,133.0,-42.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,5323.0,7876.0,148.0,5165.0,7909.0,146.0,158.0,-33.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0
6909-9183,complete,https://lpl.qq.com/es/stats.shtml?bmid=6909,LPL,2021,Spring,0,2021-01-09 09:22:04,1,11.01,2,Blue,jng,Karsa,Top Esports,Pantheon,Olaf,Renekton,Zoe,Twisted Fate,Orianna,2050,0,1,2,1,3,9,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0878,0.3512,,,,,,,,,,,,,,,,,,,,,,,,,,,,8585.0,251.2683,0.135592,869.0927,541.3171,12.0,0.3512,12.0,0.3512,12.0,,,10106,5648.0,165.3073,0.174716,10100.0,,197.0,23.0,174.0,115.0,3.0,5.7659,3271.0,3982.0,71.0,3437.0,3958.0,77.0,-166.0,24.0,-6.0,0.0,0.0,0.0,0.0,0.0,1.0,5034.0,5828.0,106.0,4967.0,6102.0,114.0,67.0,-274.0,-8.0,0.0,0.0,0.0,0.0,0.0,1.0
6909-9183,complete,https://lpl.qq.com/es/stats.shtml?bmid=6909,LPL,2021,Spring,0,2021-01-09 09:22:04,1,11.01,3,Blue,mid,knight,Top Esports,Syndra,Olaf,Renekton,Zoe,Twisted Fate,Orianna,2050,0,2,1,0,3,9,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,0.0878,0.3512,,,,,,,,,,,,,,,,,,,,,,,,,,,,13105.0,383.561,0.206981,262.5951,170.5463,5.0,0.1463,13.0,0.3805,1.0,,,13284,8826.0,258.322,0.273018,13425.0,,343.0,303.0,40.0,24.0,10.0,10.039,3842.0,4901.0,100.0,3324.0,4827.0,91.0,518.0,74.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,5933.0,8127.0,169.0,5375.0,8104.0,159.0,558.0,23.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0
6909-9183,complete,https://lpl.qq.com/es/stats.shtml?bmid=6909,LPL,2021,Spring,0,2021-01-09 09:22:04,1,11.01,4,Blue,bot,JackeyLove,Top Esports,Samira,Olaf,Renekton,Zoe,Twisted Fate,Orianna,2050,0,0,2,2,3,9,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0878,0.3512,,,,,,,,,,,,,,,,,,,,,,,,,,,,20740.0,607.0244,0.327569,726.0,424.039,10.0,0.2927,18.0,0.5268,5.0,,,13742,9284.0,271.7268,0.287185,12825.0,,360.0,335.0,25.0,19.0,0.0,10.5366,3446.0,3308.0,100.0,3296.0,3155.0,91.0,150.0,153.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,5519.0,6156.0,160.0,5220.0,5651.0,149.0,299.0,505.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0
6909-9183,complete,https://lpl.qq.com/es/stats.shtml?bmid=6909,LPL,2021,Spring,0,2021-01-09 09:22:04,1,11.01,5,Blue,sup,Zhuo,Top Esports,Leona,Olaf,Renekton,Zoe,Twisted Fate,Orianna,2050,0,0,4,1,3,9,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0878,0.3512,,,,,,,,,,,,,,,,,,,,,,,,,,,,2441.0,71.4439,0.0385533,368.4293,529.8146,61.0,1.7854,30.0,0.878,19.0,,,6774,2316.0,67.7854,0.0716508,6525.0,,54.0,54.0,0.0,0.0,0.0,1.5805,2189.0,2507.0,20.0,2092.0,2641.0,14.0,97.0,-134.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,3006.0,3134.0,25.0,3137.0,3462.0,22.0,-131.0,-328.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
6909-9183,complete,https://lpl.qq.com/es/stats.shtml?bmid=6909,LPL,2021,Spring,0,2021-01-09 09:22:04,1,11.01,6,Red,top,Bin,Suning,Aatrox,Graves,Ornn,Akali,Kennen,Jayce,2050,1,1,0,6,9,3,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.2634,0.3512,,,,,,,,,,,,,,,,,,,,,,,,,,,,7861.0,230.078,0.134592,1012.5951,895.0537,18.0,0.5268,4.0,0.1171,7.0,,,13468,9010.0,263.7073,0.235677,13325.0,,316.0,280.0,36.0,18.0,4.0,9.2488,3296.0,4984.0,87.0,3429.0,4942.0,89.0,-133.0,42.0,-2.0,0.0,0.0,0.0,0.0,1.0,0.0,5165.0,7909.0,146.0,5323.0,7876.0,148.0,-158.0,33.0,-2.0,0.0,0.0,0.0,0.0,1.0,0.0
6909-9183,complete,https://lpl.qq.com/es/stats.shtml?bmid=6909,LPL,2021,Spring,0,2021-01-09 09:22:04,1,11.01,7,Red,jng,SofM,Suning,Nidalee,Graves,Ornn,Akali,Kennen,Jayce,2050,1,1,1,6,9,3,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.2634,0.3512,,,,,,,,,,,,,,,,,,,,,,,,,,,,10724.0,313.8732,0.183611,843.161,442.8,60.0,1.7561,27.0,0.7902,13.0,,,10867,6409.0,187.5805,0.167645,9525.0,,205.0,44.0,161.0,122.0,8.0,6.0,3437.0,3958.0,77.0,3271.0,3982.0,71.0,166.0,-24.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,4967.0,6102.0,114.0,5034.0,5828.0,106.0,-67.0,274.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0
6909-9183,complete,https://lpl.qq.com/es/stats.shtml?bmid=6909,LPL,2021,Spring,0,2021-01-09 09:22:04,1,11.01,8,Red,mid,Angel,Suning,Viktor,Graves,Ornn,Akali,Kennen,Jayce,2050,1,2,0,5,9,3,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.2634,0.3512,,,,,,,,,,,,,,,,,,,,,,,,,,,,17497.0,512.1073,0.299575,287.6195,341.5024,15.0,0.439,8.0,0.2341,5.0,,,12602,8144.0,238.361,0.213026,10175.0,,299.0,279.0,20.0,18.0,0.0,8.7512,3324.0,4827.0,91.0,3842.0,4901.0,100.0,-518.0,-74.0,-9.0,0.0,0.0,0.0,1.0,0.0,0.0,5375.0,8104.0,159.0,5933.0,8127.0,169.0,-558.0,-23.0,-10.0,0.0,0.0,0.0,1.0,0.0,0.0
6909-9183,complete,https://lpl.qq.com/es/stats.shtml?bmid=6909,LPL,2021,Spring,0,2021-01-09 09:22:04,1,11.01,9,Red,bot,huanfeng,Suning,Kai'Sa,Graves,Ornn,Akali,Kennen,Jayce,2050,1,5,0,3,9,3,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.2634,0.3512,,,,,,,,,,,,,,,,,,,,,,,,,,,,18459.0,540.2634,0.316046,459.7171,261.161,13.0,0.3805,12.0,0.3512,5.0,,,16176,11718.0,342.9659,0.306508,14200.0,,359.0,308.0,51.0,41.0,0.0,10.5073,3296.0,3155.0,91.0,3446.0,3308.0,100.0,-150.0,-153.0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,5220.0,5651.0,149.0,5519.0,6156.0,160.0,-299.0,-505.0,-11.0,0.0,0.0,0.0,0.0,0.0,0.0
6909-9183,complete,https://lpl.qq.com/es/stats.shtml?bmid=6909,LPL,2021,Spring,0,2021-01-09 09:22:04,1,11.01,10,Red,sup,ON,Suning,Galio,Graves,Ornn,Akali,Kennen,Jayce,2050,1,0,2,8,9,3,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.2634,0.3512,,,,,,,,,,,,,,,,,,,,,,,,,,,,3865.0,113.122,0.0661747,337.3463,586.0976,55.0,1.6098,10.0,0.2927,16.0,,,7407,2949.0,86.3122,0.0771448,6350.0,,36.0,36.0,0.0,0.0,0.0,1.0537,2092.0,2641.0,14.0,2189.0,2507.0,20.0,-97.0,134.0,-6.0,0.0,0.0,0.0,0.0,0.0,0.0,3137.0,3462.0,22.0,3006.0,3134.0,25.0,131.0,328.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0
6909-9183,complete,https://lpl.qq.com/es/stats.shtml?bmid=6909,LPL,2021,Spring,0,2021-01-09 09:22:04,1,11.01,100,Blue,team,,Top Esports,,Olaf,Renekton,Zoe,Twisted Fate,Orianna,2050,0,3,9,6,3,9,0.0,0.0,,,1.0,,,,0.0878,0.3512,1.0,2.0,2.0,2.0,2.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,,,0.0,0.0,1.0,1.0,3.0,6.0,1.0,1.0,,,0.0,1.0,63315.0,1853.122,,2559.0146,1990.8585,101.0,2.9561,83.0,2.4293,40.0,,,54617,32329.0,946.2146,,53550.0,-0.000466744,1230.0,987.0,243.0,162.0,13.0,36.0,16177.0,19640.0,380.0,15445.0,19565.0,360.0,732.0,75.0,20.0,1.0,1.0,0.0,0.0,0.0,1.0,24815.0,31121.0,608.0,23864.0,31228.0,590.0,951.0,-107.0,18.0,1.0,1.0,0.0,0.0,0.0,1.0
6909-9183,complete,https://lpl.qq.com/es/stats.shtml?bmid=6909,LPL,2021,Spring,0,2021-01-09 09:22:04,1,11.01,200,Red,team,,Suning,,Graves,Ornn,Akali,Kennen,Jayce,2050,1,9,3,28,9,3,1.0,0.0,,,0.0,,,,0.2634,0.3512,0.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,,,1.0,1.0,0.0,0.0,6.0,3.0,0.0,0.0,,,1.0,0.0,58406.0,1709.4439,,2940.439,2526.6146,161.0,4.7122,61.0,1.7854,46.0,,,60520,38232.0,1118.9854,,53575.0,0.000466744,1215.0,947.0,268.0,199.0,12.0,35.561,15445.0,19565.0,360.0,16177.0,19640.0,380.0,-732.0,-75.0,-20.0,0.0,0.0,1.0,1.0,1.0,0.0,23864.0,31228.0,590.0,24815.0,31121.0,608.0,-951.0,107.0,-18.0,0.0,0.0,1.0,1.0,1.0,0.0
